26632:3a30be93eb45566a90f4e95ee72a089a:7566.22:1:Jep Lauga
58815:0663a4ddceacb40b095eda264a85f15c:11766.74:1:Piccolet Barretti
03034:300d1539c3b6aa1793b5678b857732cf:9933.01:0:Gernier Staats
82358:8ca070cc474c02335277c16ce15a469b:27136.19:1:Pizkunde Bedard
42115:1f262a60600e30c026663a7ccbed6bab:20973.47:0:Marama Van Der Linde
20361:d6428eecbe0f7dff83fc607c5044b2b9:44352.50:1:Merbal Van Nieuwkirk
57118:2342d8a616837cd6d79017fe68172b28:6420.86:0:Cunradus Cernuschi
57121:7e8750d4a701596732953c160d2ae096:11212.67:1:Ludovicus Thiebaud
78390:b58ac8403eb9cf17fae1dcd16df71fde:26148.35:0:Creusa Taafe
32236:77b917da760ab9aeca583fd0bb0e1c67:36651.00:0:Juetta Beauregard
77446:47a3893cc405396a5c30d91320572d6d:46570.73:0:Antonius Vroeman
82010:4f81b1d964419548f01ca35bbaeeda75:20850.17:0:Gairebold Jopie
61329:298f587406c914fad5373bb689300433:31825.53:1:Andrekina Rondinelli
76505:adc8ca1b15e20915c3ea6008fc2f52ed:8025.22:0:Alexis Rodin
05194:1ddfa4ccdcea53130b500eaabb190e4b:29294.03:0:Reynoldus Psara
34634:ab452534c5ce28c4fbb0e102d4a4fb2e:35109.89:1:Sybille Stelymes
39381:70d355680e628fe1c552221f690d8da4:18823.33:1:Mitxoleta Groll
37729:69cd21a0e0b7d5f05dc88a0be36950c7:37209.70:0:Etorne Mazza
51351:0a3b6f64f0523984e51323fe53b8c504:14042.96:1:Milessent Glanville
79758:2b3bf3eee2475e03885a110e9acaab61:46245.31:0:Scientia Peruzzi
51199:b0d336331ae52d66769bb655c37032c6:33521.37:1:Hanry Sleeuwaert
23583:ee389847678a3a9d1ce9e4ca69200d06:16682.07:1:Panteleon Gerritzen
20542:d6a2be6d87d35c6d161fde16f21a5864:42961.90:1:Godelda Thibaudet
39185:94aef38441efa3380a3bed3faf1f9d5d:11056.60:0:Pateria Vandervliet
02295:88ed1c065719496c24b45a72994a3283:39226.50:0:Legarda Merteberge
48751:3413ce14d52b87557e87e2c1518c2cbe:24914.76:0:Tebaeus Lerch
66762:417fbbf2e9d5a28a855a11894b2e795a:46550.30:0:Annys Linneberg
72327:7180cffd6a8e829dacfc2a31b3f72ece:13241.81:1:Cilia Monchaty
91636:b197ffdef2ddc3308584dce7afa3661b:8268.65:1:Phoitios Van Haelst
29303:a0f3601dc682036423013a5d965db9aa:22961.31:0:Kallixeina Weizmann
90304:4f1ac1f615a1c3414134c2d3ae9a3f58:22058.46:0:Fabiola Primaticcio
87462:b9a25e422ba96f7572089a00b838c3f8:18040.60:1:Eleder Vachon
04620:dbec0010cebb295ffb1d96b0af9d77f8:34403.18:1:Ouin Rolnik
06857:9c964e5baf57b36750ae26bc78ba9cb0:15423.74:0:Narkissos Engel
88340:d4bd41e28be4069b5b61d2d7e47f4cfe:49515.66:0:Irmengard Halmer
81047:5a0c828364dbf6dd406139dab7b25398:32918.94:0:Ammio Weil
33722:0887f1a5b9970ad13f46b8c1485f7900:36043.42:0:Donat Delpech
10624:e44e875c12109e4fa3716c05008048b2:40685.98:0:Mikolas Majella
22678:27d52bcb3580724eb4cbe9f2718a9365:9298.53:0:Ubarriaran Nobile
02953:6e69ebbfad976d4637bb4b39de261bf7:40664.57:1:Namus Trauttmann
94752:d7619beb6eb189509885fbc192d2874b:32818.53:0:Rofsind Barth
89409:2051bd70fc110a2208bdbd4a743e7f79:34665.41:1:Sayeva Arizeruan
74224:d128a9569b806e3a93c91293aed3f40b:47529.86:1:Syennesis Romeyn
00597:cb3ce9b06932da6faaa7fc70d5b5d2f4:40418.21:1:Gazelu Tetzel
36573:aee1bc7fa5da061b752d0efddbd16495:44526.26:1:Becke Grand
63450:c5c1bda1194f9423d744e0ef67df94ee:13652.55:0:Edica Daumier
36014:7608de7a475c0c878f60960d72a92654:7145.23:1:Aeilmar Kubadinski
65617:48cb136b65a69e8c2aa22913a0d91b2f:47676.86:0:Bingene Bourassa
73813:147768d3955e38c4e662c0a95d807abc:19813.04:1:Queniua Blinkerhof
27458:3dfe2f633108d604df160cd1b01710db:669.38:1:Ideslef Vanhoudt
50031:7c4bf50b715509a963ce81b168ca674b:40636.40:0:Huelin Westmann
06206:802a5fd4efb36391dfa8f1991fd0f849:13080.98:1:Thancharat Carteret
48339:2763d6234f7431f32844926f634c8fd4:12498.89:0:Arantza Onaindia
44787:fb8feff253bb6c834deb61ec76baa893:35726.84:1:Artiga Knittle
00162:12fb63ba1566cb03484e1e5e290a73f4:19048.98:0:Maia Gilo
96887:7fc63ff01769c4fa7d9279e97e307829:40856.54:0:Adalbert d'Argues
88940:efd7e9ed0e5e694ba6df444d84dfa37d:20074.02:1:Tui Natoli
79759:9ee70b7987a735c046ac30a1556272c8:6622.99:0:Gautzelin Rodin
26693:c7af0926b294e47e52e46cfebe173f20:22952.30:1:Tymnes Honig
99497:83ddfbd1c4f871159c148d7a010e69be:35266.87:0:Klymene Raimbeaucourt
95625:f0f6cc51dacebe556699ccb45e2d43a8:21836.27:0:Opakua Csurgo
41575:89534213383a6a5b0eca4ad7c3b082c4:43427.07:1:Stina Sermattei
63670:31c97cbb941d3e92d0e6f9925e9bc4d7:34538.69:1:Tecmessa Trauner
87439:a3fb4fbf9a6f9cf09166aa9c20cbc1ad:43985.76:0:Reinald Cavelier
11186:0912d0f15f1394268c66639e39b26215:44742.33:0:Eluska Gueorgiev
28226:3b922393a3cb462762ff5dd2bec1b20f:35738.46:0:Alueredus Prifti
67055:5e18f86fad006a5846541997511989d5:30559.63:1:Thrasius Dellas
77055:a3eb043e7bf775de87763e9f8121c953:22895.20:1:Jarvis Rasch
24833:838f14a84363d9a7ac1b06ad63fc6fb5:11226.07:0:Gilpin Saltsidis
65422:7f8bb0fe8b33780a08fe6b60ced14529:23895.22:0:Oliva Saint-Helene
58351:89562dccfeb1d0394b9ae7e09544dc70:8512.47:1:Olympio Zurbrugg
91376:f976e2029df2e37f146216f08cfe01fc:30920.70:0:Orsola Kegels
13277:a50abba8132a77191791390c3eb19fe7:41264.46:1:Burrhus Hubner
53936:36107e6b72b64a32dfce109719e892ad:5408.59:0:Gevehard Ansotegi
72785:243be2818a23c980ad664f30f48e5d19:47569.99:1:Isott Christos
55238:3ba9af181751761d3b387f74ded2d783:9689.88:0:Bayard Brix
71257:2ba3fb10169ac4d8a3a9eb3085b9ab68:158.74:1:Josebe Mullenhoff
85054:112e9d677c7483747f216a1470bed734:912.03:1:Majorian Borev
16621:dd28e50635038e9cf3a648c2dd17ad0a:33036.66:0:Zerran Perci
32274:669e40b854e5ed89bc374e62800f507d:24978.99:0:Birinus Brasco
53665:a1a609f1ac109d0be28d8ae112db1bbb:3026.78:0:Wigo Beineix
18870:ccc58dde99ac1c9f32531179b859bf46:13218.98:1:Philomache Levorato
90156:dfa037a53e121ecc9e0926800c3e814e:8438.92:0:Medesicaste Comtois
15461:29ddbdb402491a6aa97964a8139a1356:21496.58:1:Frery Kisslinger
51447:7d92c08873b4979b544e7fb64fdb1c6c:13302.79:0:Cristyne Bruno
35566:0e087ec55dcbe7b2d7992d6b69b519fb:39855.26:1:Dyonisia Hafonstaangel
93809:597c7b407a02cc0a92167e7a371eca25:36516.31:0:Clement Seibold
82337:e93028bdc1aacdfb3687181f2031765d:23237.48:0:Blaive Verguts
21966:16c0d78ef6a76b5c247113a4c9514059:17654.41:0:Atze Di Giovine
83544:750263dbb2fb8547bdd810ee11a08c7a:14720.36:1:Euphame Olteanu
56914:840da3dfcc610a1b97764f9e95299c6f:19049.12:1:Morise Strazzer
28733:6a50bc78695ddc78140043c3f4c87041:39001.20:0:Wannour Gaspard
86607:7171e95248ff768e1ebee3edde01ea7a:22295.25:1:Lennor Treffen
52359:4999cb99a2bdc2b409359acc1b92e033:46286.96:1:Girout Mihalcea
28742:35937e34256cf4e5b2f7da08871d2a0b:7522.37:1:Ereprad Wieck
74100:2596a54cdbb555cfd09cd5d991da0f55:34646.63:1:Berzijana Spagnuolo
17296:544a4f59f691574154a60b8539ebf914:32161.73:0:Hamilcar Bassano
19590:15231a7ce4ba789d13b722cc5c955834:36931.80:0:Else Cremer
12160:c4bbac870026694953a91cbd99149a13:200.06:1:Hnaufridus Volker
91334:861578d797aeb0634f77aff3f488cca2:24865.91:0:Heltrada Filho
